"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";" 9774015243 ";"WA-SMSI_9774XXX243_9774015243";"WA-SMSI_9774015243";"MP1, MP2";"WA-SMSI SMT Steel Spacer, M2 Thread Internal";"";
"2";"0R";"R-EU_R0402";"R0402";"MCU1:R4, R2";"RESISTOR, European symbol";"";
"3";"1  µF ";"WCAP-CSGP_0402_885012105012_10V(DC)";"WCAP-CSGP_0402";"MCU1:C10, USB1:C3, USB1:C4";"WCAP-CSGP MLCCs 0402";"";
"1";"1.2pF ";"WCAP-CSRF_0201_885392004003";"WCAP-CSRF_0201";"RF1:C1";"WCAP-CSRF MLCCs";"";
"11";"100  nF ";"WCAP-CSGP_0402_885012105010_10V(DC)";"WCAP-CSGP_0402";"MCU1:C4, MCU1:C5, MCU1:C6, MCU1:C7, MCU1:C8, MCU1:C9, MCU1:C11, MCU1:C12, UI1:C6, USB1:C1, USB1:C2";"WCAP-CSGP MLCCs 0402";"";
"1";"100  pF ";"WCAP-CSGP_0402_885012005013_10V(DC)";"WCAP-CSGP_0402";"MCU1:C3";"WCAP-CSGP MLCCs 0402";"";
"1";"100R";"R-EU_R0402";"R0402";"PSU1:R6";"RESISTOR, European symbol";"";
"4";"100k";"R-EU_R0402";"R0402";"MCU1:R1, MCU1:R2, MCU1:R3, UI1:R3";"RESISTOR, European symbol";"";
"1";"100nF";"C-EUC0402";"C0402";"PSU1:C9";"CAPACITOR, European symbol";"";
"7";"10k";"R-EU_R0402";"R0402";"BAT1:R1, BAT1:R3, BAT1:R4, BAT1:R5, BAT1:R6, BAT1:R7, BAT1:R8";"RESISTOR, European symbol";"";
"1";"120R";"R-EU_R0402";"R0402";"UI1:R1";"RESISTOR, European symbol";"";
"1";"150040GS73240";"WL-SMCC_0402_150040GS73240";"WL-SMCC_0402";"USB1:D2";"WL-SMCC SMD Mono-color Chip LED Compact";"";
"1";"150040YS73240";"WL-SMCC_0402_150040YS73240";"WL-SMCC_0402";"USB1:D3";"WL-SMCC SMD Mono-color Chip LED Compact";"";
"1";"155124M173200";"WL-SFSW_1204_155124M173200";"WL-SFSW_1204";"UI1:D1";"WL-SFSW SMD Full-color Side view Waterclear";"";
"4";"1k";"R-EU_R0402";"R0402";"BAT1:R2, USB1:R3, USB1:R6, USB1:R7";"RESISTOR, European symbol";"";
"1";"2.7nH";"WE-TCI_0201_744900027";"WE-TCI_0201";"RF1:L1";"WE-TCI Thinfilm Chip Inductor";"";
"1";"22.1k";"R-EU_R0402";"R0402";"USB1:R1";"RESISTOR, European symbol";"";
"1";"2400-2500 MHz";"WE-MCA_7488930245";"WE-MCA_7488930245";"RF1:Z1";"WE-MCA Antennas";"";
"1";"270R";"R-EU_R0402";"R0402";"UI1:R2";"RESISTOR, European symbol";"";
"1";"3.3nH";"WE-TCI_0201_744900033";"WE-TCI_0201";"RF1:L2";"WE-TCI Thinfilm Chip Inductor";"";
"1";"32.768kHz";"WE-XTAL_IQXC-25_830062558";"WE-XTAL_IQXC-25";"MCU1:Y2";"WE-XTAL Watch Crystals";"";
"1";"33pF";"C-EUC0402";"C0402";"PSU1:C2";"CAPACITOR, European symbol";"";
"5";"4.7uF";"C-EUC0603K";"C0603K";"BAT1:C1, BAT1:C4, PSU1:C1, PSU1:C7, PSU1:C8";"CAPACITOR, European symbol";"";
"1";"4.7uF/25V";"C-EUC1210";"C1210";"PSU1:C3";"CAPACITOR, European symbol";"";
"1";"4.7uH";"WE-LQS_2512_74404024047";"WE-LQS_2512";"PSU1:L1";"WE-LQS SMD Power Inductor";"";
"1";"434331045822";"434331045822";"4343X10458XX";"UI1:S1";"WS-TASU SMT Tact Switch 4.7x3.5 mm side push";"";
"1";"437k";"R-EU_R0402";"R0402";"PSU1:R1";"RESISTOR, European symbol";"";
"1";"43R";"R-EU_R0402";"R0402";"UI1:R6";"RESISTOR, European symbol";"";
"1";"47.5k";"R-EU_R0402";"R0402";"USB1:R2";"RESISTOR, European symbol";"";
"1";"47nF";"C-EUC0402";"C0402";"PSU1:C4";"CAPACITOR, European symbol";"";
"1";"49.9k";"R-EU_R0402";"R0402";"PSU1:R2";"RESISTOR, European symbol";"";
"2";"5.1k";"R-EU_R0402";"R0402";"USB1:R4, USB1:R5";"RESISTOR, European symbol";"";
"1";"524651071";"524651071SMD";"524651071";"X1";"524651071";"";
"1";"53261-02";"53261-02";"53261-02";"BAT1:X1";"CONNECTOR";"";
"1";"5Vdc";"WE-TVS-HS_SOT563_82400152";"WE-TVS_SOT563";"USB1:D1";"WE-TVS TVS Diode – High Speed Series";"";
"2";"9pF ";"WCAP-CSRF_0201_885392004010";"WCAP-CSRF_0201";"MCU1:C1, MCU1:C2";"WCAP-CSRF MLCCs";"";
"1";"CP2102N";"CP2102NQFN24";"QFN50P400X400X80-25T255N";"USB1:U1";"CP2102N";"";
"1";"CSD18541F5";"CSD18541F5LGA";"CSD18541F5";"BAT1:Q1";"CSD18541F5";"";
"1";"MCP170333MB";"MCP170333MB";"SOT89";"PSU1:IC1";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";
"1";"MCP73833";"MCP73833/4DFN10";"SON50P300X300X100-11T140X220N";"BAT1:U1";"MCP73833/4";"";
"1";"MLPF-WB55-01E3";"MLPF-WB55-01E3CSP";"CSP-6";"MCU1:FLT1";"MLPF-WB55-01E3";"";
"1";"NX2016SA-32MHz";"WE-XTAL_IQXC-42_830059597";"WE-XTAL_IQXC-42";"MCU1:Y1";"WE-XTAL Quartz Crystal";"";
"1";"STM32WB30CE";"STM32WB30CEUFQFPN48";"QFN50P700X700X60-49T560N";"MCU1:U1";"STM32WB30CE";"";
"1";"TC2030-NLTC2030-IDC-NL-FP";"TC2030-NLTC2030-IDC-NL-FP";"TC2030-NL";"MCU1:X1";"";"";
"1";"TPS61080QFN10";"TPS61080QFN10";"S-PDSO-N10";"PSU1:IC2";"HIGH VOLTAGE DC/DC BOOST CONVERTER WITH 0.5-A/1.3-A INTEGRATED SWITCH";"";
"1";"USB4110";"USBC-USB4110USBC";"USBCGCT";"USB1:X1";"USB Type C Receptacle";"";
